Light curve of GRB : bn081224887
Energy range : 50 to 300 keV
Trigger time (MET s) : 251846276.414
Tstart (s)	Counts/s
31.818543316918266	4125.0
31.882547382333918	4156.25
31.946551447749563	4546.875
32.01055551316521	4390.625
32.07455957858086	4437.5
32.138563643996505	3953.125
32.20256770941215	4437.5
32.266571774827796	4484.375
32.33057584024345	4468.75
32.39457990565909	4109.375
32.45858397107474	4234.375
32.52258803649039	4640.625
32.586592101906035	3984.375
32.65059616732168	4312.5
32.71460023273733	5265.625
32.77860429815298	4531.25
32.84260836356862	4453.125
32.906612428984275	4343.75
32.97061649439992	4031.25
33.034620559815565	4015.625
33.09862462523121	4500.0
33.16262869064686	4890.625
33.22663275606251	4656.25
33.29063682147815	4843.75
33.354640886893804	4765.625
33.41864495230945	4031.25
33.482649017725095	4718.75
33.54665308314075	4062.5
33.61065714855639	4171.875
33.67466121397204	4453.125
33.73866527938768	4296.875
33.802669344803334	4687.5
33.86667341021898	4750.0
33.930677475634624	4343.75
33.99468154105028	4953.125
34.05868560646592	4515.625
34.12268967188157	4328.125
34.18669373729722	4453.125
34.250697802712864	4421.875
34.31470186812851	4656.25
34.37870593354416	4343.75
34.442709998959806	4515.625
34.50671406437545	4234.375
34.570718129791096	4296.875
34.63472219520675	4453.125
34.698726260622394	4421.875
34.76273032603804	4812.5
34.82673439145369	4250.0
34.890738456869336	4187.5
34.95474252228498	4062.5
35.01874658770063	4359.375
35.08275065311628	4203.125
35.14675471853192	4687.5
35.21075878394757	4312.5
35.27476284936322	4546.875
35.338766914778866	4250.0
35.40277098019451	4296.875
35.46677504561016	4593.75
35.53077911102581	4156.25
35.59478317644145	4421.875
35.658787241857105	4203.125
35.72279130727275	3984.375
35.786795372688395	4343.75
35.85079943810405	4187.5
35.91480350351969	4203.125
35.97880756893534	4468.75
36.04281163435098	4468.75
36.106815699766635	4140.625
36.17081976518228	4250.0
36.234823830597925	4781.25
36.29882789601358	4171.875
36.36283196142922	4156.25
36.42683602684487	4156.25
36.49084009226052	4656.25
36.554844157676165	3640.625
36.61884822309181	4546.875
36.68285228850746	4843.75
36.74685635392311	4921.875
36.81086041933875	4218.75
36.8748644847544	4390.625
36.93886855017005	4187.5
37.002872615585694	4593.75
37.06687668100134	4171.875
37.13088074641699	4031.25
37.19488481183264	3375.0
37.25888887724828	4250.0
37.322892942663934	4234.375
37.38689700807958	4468.75
37.450901073495224	4421.875
37.51490513891087	4343.75
37.57890920432652	3968.75
37.64291326974217	4125.0
37.70691733515781	4171.875
37.77092140057346	4296.875
37.8349254659891	4328.125
37.89892953140476	4343.75
37.962933596820406	4578.125
38.02693766223605	4140.625
38.090941727651696	3718.75
38.15494579306734	4390.625
38.218949858482986	4171.875
38.282953923898646	3968.75
38.34695798931429	4078.125
38.410962054729936	3968.75
38.47496612014558	4046.875
38.538970185561226	4218.75
38.60297425097687	4390.625
38.666978316392516	4234.375
38.730982381808175	4031.25
38.79498644722382	4234.375
38.858990512639465	4468.75
38.92299457805511	4593.75
38.986998643470756	4406.25
39.0510027088864	4453.125
39.11500677430206	4203.125
39.179010839717705	4250.0
39.24301490513335	4343.75
39.307018970548995	4640.625
39.37102303596464	4250.0
39.435027101380285	4234.375
39.49903116679593	4406.25
39.56303523221159	4125.0
39.627039297627235	5078.125
39.69104336304288	4265.625
39.755047428458525	4078.125
39.81905149387417	4781.25
39.883055559289815	4640.625
39.947059624705474	3546.875
40.01106369012112	4046.875
40.075067755536764	4187.5
40.13907182095241	4609.375
40.203075886368055	4359.375
40.2670799517837	4375.0
40.331084017199345	4156.25
40.395088082615004	3750.0
40.45909214803065	3859.375
40.523096213446294	4156.25
40.58710027886194	4359.375
40.651104344277584	4515.625
40.71510840969323	4046.875
40.77911247510889	4218.75
40.843116540524534	4375.0
40.90712060594018	4453.125
40.971124671355824	3906.25
41.03512873677147	3875.0
41.099132802187114	4140.625
41.16313686760276	4515.625
41.22714093301842	4640.625
41.29114499843406	4906.25
41.35514906384971	4390.625
41.419153129265354	4281.25
41.483157194681	4312.5
41.547161260096644	3609.375
41.61116532551229	3921.875
41.67516939092795	4656.25
41.73917345634359	4375.0
41.80317752175924	4281.25
41.86718158717488	4578.125
41.93118565259053	3796.875
41.99518971800617	4562.5
42.05919378342183	4578.125
42.12319784883748	4562.5
