Tstart (s),Counts/s,Cumulative Sum
8.777079767285265,5515.625,2636828.125
8.84108383270091,5312.5,2642140.625
8.905087898116555,5609.375,2647750.0
8.969091963532208,5453.125,2653203.125
9.033096028947853,6031.25,2659234.375
9.097100094363498,5656.25,2664890.625
9.161104159779143,5500.0,2670390.625
9.225108225194795,5234.375,2675625.0
9.28911229061044,5515.625,2681140.625
9.353116356026085,5859.375,2687000.0
9.417120421441737,5890.625,2692890.625
9.481124486857382,5640.625,2698531.25
9.545128552273027,5750.0,2704281.25
9.60913261768868,5812.5,2710093.75
9.673136683104325,5406.25,2715500.0
9.73714074851997,5562.5,2721062.5
9.801144813935622,5781.25,2726843.75
9.865148879351267,5609.375,2732453.125
9.929152944766912,5531.25,2737984.375
9.993157010182557,5640.625,2743625.0
10.05716107559821,6234.375,2749859.375
10.121165141013854,5468.75,2755328.125
10.1851692064295,5890.625,2761218.75
10.249173271845152,6140.625,2767359.375
10.313177337260797,5718.75,2773078.125
10.377181402676442,5890.625,2778968.75
10.441185468092094,5656.25,2784625.0
10.505189533507739,5640.625,2790265.625
10.569193598923384,5546.875,2795812.5
10.633197664339036,5593.75,2801406.25
10.697201729754681,5125.0,2806531.25
10.761205795170326,4968.75,2811500.0
10.825209860585971,5750.0,2817250.0
10.889213926001624,5562.5,2822812.5
10.953217991417269,4562.5,2827375.0
11.017222056832914,5375.0,2832750.0
11.081226122248566,5421.875,2838171.875
11.145230187664211,5296.875,2843468.75
11.209234253079856,4656.25,2848125.0
11.273238318495508,5515.625,2853640.625
11.337242383911153,5515.625,2859156.25
11.401246449326798,4984.375,2864140.625
11.465250514742443,5453.125,2869593.75
11.529254580158096,4812.5,2874406.25
11.59325864557374,4968.75,2879375.0
11.657262710989386,5078.125,2884453.125
11.721266776405038,5515.625,2889968.75
11.785270841820683,4843.75,2894812.5
11.849274907236328,4812.5,2899625.0
11.91327897265198,5156.25,2904781.25
11.977283038067625,4765.625,2909546.875
12.04128710348327,5281.25,2914828.125
12.105291168898923,4765.625,2919593.75
12.169295234314568,4968.75,2924562.5
12.233299299730213,4703.125,2929265.625
12.297303365145858,5000.0,2934265.625
12.36130743056151,5046.875,2939312.5
12.425311495977155,4921.875,2944234.375
12.4893155613928,4734.375,2948968.75
12.553319626808452,4390.625,2953359.375
12.617323692224097,4671.875,2958031.25
12.681327757639743,4687.5,2962718.75
12.745331823055395,4750.0,2967468.75
12.80933588847104,4500.0,2971968.75
12.873339953886685,4765.625,2976734.375
12.93734401930233,4812.5,2981546.875
13.001348084717982,4812.5,2986359.375
13.065352150133627,4437.5,2990796.875
13.129356215549272,4937.5,2995734.375
13.193360280964924,4734.375,3000468.75
13.25736434638057,4687.5,3005156.25
13.321368411796215,4953.125,3010109.375
13.385372477211867,5000.0,3015109.375
13.449376542627512,4703.125,3019812.5
13.513380608043157,4953.125,3024765.625
13.577384673458809,4359.375,3029125.0
13.641388738874454,4593.75,3033718.75
13.7053928042901,4656.25,3038375.0
13.769396869705744,5078.125,3043453.125
13.833400935121396,4312.5,3047765.625
13.897405000537042,4593.75,3052359.375
13.961409065952687,4437.5,3056796.875
14.025413131368339,4718.75,3061515.625
14.089417196783984,4750.0,3066265.625
14.153421262199629,4640.625,3070906.25
14.217425327615281,4406.25,3075312.5
14.281429393030926,4343.75,3079656.25
14.345433458446571,4781.25,3084437.5
14.409437523862216,4625.0,3089062.5
14.473441589277869,4234.375,3093296.875
14.537445654693514,5390.625,3098687.5
14.601449720109159,4328.125,3103015.625
14.66545378552481,4671.875,3107687.5
14.729457850940456,4078.125,3111765.625
14.793461916356101,4203.125,3115968.75
14.857465981771753,4687.5,3120656.25
14.921470047187398,4296.875,3124953.125
14.985474112603043,4593.75,3129546.875
15.049478178018695,5296.875,3134843.75
15.11348224343434,5109.375,3139953.125
15.177486308849986,4296.875,3144250.0
15.24149037426563,4718.75,3148968.75
15.305494439681283,4312.5,3153281.25
15.369498505096928,4125.0,3157406.25
15.433502570512573,4750.0,3162156.25
15.497506635928225,3859.375,3166015.625
15.56151070134387,4531.25,3170546.875
15.625514766759515,4906.25,3175453.125
15.689518832175168,5109.375,3180562.5
15.753522897590813,5140.625,3185703.125
15.817526963006458,4750.0,3190453.125
15.881531028422103,5468.75,3195921.875
15.945535093837755,4921.875,3200843.75
16.0095391592534,5359.375,3206203.125
16.073543224669045,4640.625,3210843.75
16.137547290084697,4750.0,3215593.75
16.201551355500342,4703.125,3220296.875
16.265555420915987,4515.625,3224812.5
16.32955948633164,4687.5,3229500.0
16.393563551747285,4343.75,3233843.75
16.45756761716293,4515.625,3238359.375
16.521571682578582,4578.125,3242937.5
16.585575747994227,4609.375,3247546.875
16.649579813409872,4734.375,3252281.25
16.713583878825517,5046.875,3257328.125
16.77758794424117,4859.375,3262187.5
16.841592009656814,5125.0,3267312.5
16.90559607507246,4703.125,3272015.625
16.96960014048811,4484.375,3276500.0
17.033604205903757,5140.625,3281640.625
17.0976082713194,4468.75,3286109.375
17.161612336735054,4796.875,3290906.25
17.2256164021507,4578.125,3295484.375
17.289620467566344,4468.75,3299953.125
17.35362453298199,4359.375,3304312.5
17.41762859839764,4453.125,3308765.625
17.481632663813286,4703.125,3313468.75
17.54563672922893,4484.375,3317953.125
17.609640794644584,4343.75,3322296.875
17.67364486006023,4859.375,3327156.25
17.737648925475874,4343.75,3331500.0
17.801652990891526,4484.375,3335984.375
17.86565705630717,5031.25,3341015.625
17.929661121722816,5421.875,3346437.5
17.99366518713847,4640.625,3351078.125
18.057669252554113,4156.25,3355234.375
18.12167331796976,4921.875,3360156.25
18.185677383385404,4359.375,3364515.625
18.249681448801056,4828.125,3369343.75
18.3136855142167,4687.5,3374031.25
18.377689579632346,4250.0,3378281.25
18.441693645047998,4937.5,3383218.75
